"album_name","ep","album_release","track_number","track_name","artist","featuring","bonus_track","promotional_release","single_release","track_release","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit","key_name","mode_name","key_mode","Streams","log_Streams","binary_streams"
"Taylor Swift",FALSE,2006-10-24,1,"Tim McGraw","Taylor Swift",NA,FALSE,NA,2006-06-19,2006-06-19,0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,4,232107,FALSE,"C","major","C major",120681144,18.6086624518257,1
"Taylor Swift",FALSE,2006-10-24,2,"Picture To Burn","Taylor Swift",NA,FALSE,NA,2008-02-03,2006-10-24,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,4,173067,FALSE,"G","major","G major",177476212,18.9943471409973,1
"Taylor Swift",FALSE,2006-10-24,3,"Teardrops On My Guitar","Taylor Swift",NA,FALSE,NA,2007-02-19,2006-10-24,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,4,203040,FALSE,"A#","major","A# major",201819648,19.1228850248707,1
"Taylor Swift",FALSE,2006-10-24,4,"A Place In This World","Taylor Swift",NA,FALSE,NA,NA,2006-10-24,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,4,199200,FALSE,"A","major","A major",38006696,17.4532729126937,0
"Taylor Swift",FALSE,2006-10-24,5,"Cold As You","Taylor Swift",NA,FALSE,NA,NA,2006-10-24,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,4,239013,FALSE,"F","major","F major",393555192,19.7907318751985,1
"Taylor Swift",FALSE,2006-10-24,6,"The Outside","Taylor Swift",NA,FALSE,NA,NA,2006-10-24,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,4,207107,FALSE,"F","major","F major",27152957,17.1169965118574,0
"Taylor Swift",FALSE,2006-10-24,7,"Tied Together With A Smile","Taylor Swift",NA,FALSE,NA,NA,2006-10-24,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,4,248107,FALSE,"D","major","D major",30582153,17.2359271614806,0
"Taylor Swift",FALSE,2006-10-24,8,"Stay Beautiful","Taylor Swift",NA,FALSE,NA,NA,2006-10-24,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,4,236053,FALSE,"G#","major","G# major",32159952,17.2862325097366,0
"Taylor Swift",FALSE,2006-10-24,9,"Should've Said No","Taylor Swift",NA,FALSE,NA,2008-05-18,2006-10-24,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,4,242200,FALSE,"E","minor","E minor",111944757,18.5335160665045,1
"Taylor Swift",FALSE,2006-10-24,10,"Mary's Song (Oh My My My)","Taylor Swift",NA,FALSE,NA,NA,2006-10-24,0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,4,213080,FALSE,"D","major","D major",41444442,17.5398643412906,0
